Census Year,Subject population,Religious affiliation,Religious affiliation Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,Jesus Follower,Jesus Follower,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Jesus Follower,Jesus Follower,Count,1575,number,Number of people,
2018,Census usually resident population,Jesus Follower,Jesus Follower,Percentage of total stated,0.03351238522008,percentage,% of people,
2023,Census usually resident population,Jesus Follower,Jesus Follower,Count,2073,number,Number of people,
2023,Census usually resident population,Jesus Follower,Jesus Follower,Percentage of total stated,0.04151045180312,percentage,% of people,
2013,Census usually resident population,Christian (not elsewhere classified),Christian nec,Count,741,number,Number of people,
2013,Census usually resident population,Christian (not elsewhere classified),Christian nec,Percentage of total stated,0.01899433092277,percentage,% of people where information available,
2018,Census usually resident population,Christian (not elsewhere classified),Christian nec,Count,642,number,Number of people,
2018,Census usually resident population,Christian (not elsewhere classified),Christian nec,Percentage of total stated,0.01366028654685,percentage,% of people,
2023,Census usually resident population,Christian (not elsewhere classified),Christian nec,Count,738,number,Number of people,
2023,Census usually resident population,Christian (not elsewhere classified),Christian nec,Percentage of total stated,0.01477796113396,percentage,% of people,
2013,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Count,89085,number,Number of people,
2013,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Percentage of total stated,2.283549217618,percentage,% of people where information available,
2018,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Count,121644,number,Number of people,
2018,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Percentage of total stated,2.588305135055,percentage,% of people,
2023,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Count,142008,number,Number of people,
2023,Census usually resident population,Hinduism (not further defined),Hinduism nfd,Percentage of total stated,2.843616131046,percentage,% of people,
2013,Census usually resident population,Hare Krishna,Hare Krishna,Count,387,number,Number of people,
2013,Census usually resident population,Hare Krishna,Hare Krishna,Percentage of total stated,0.009920116149949,percentage,% of people where information available,
2018,Census usually resident population,Hare Krishna,Hare Krishna,Count,645,number,Number of people,
2018,Census usually resident population,Hare Krishna,Hare Krishna,Percentage of total stated,0.01372411966156,percentage,% of people,
2023,Census usually resident population,Hare Krishna,Hare Krishna,Count,867,number,Number of people,
2023,Census usually resident population,Hare Krishna,Hare Krishna,Percentage of total stated,0.01736110068177,percentage,% of people,
2013,Census usually resident population,Yoga,Yoga,Count,237,number,Number of people,
2013,Census usually resident population,Yoga,Yoga,Percentage of total stated,0.006075109890279,percentage,% of people where information available,
2018,Census usually resident population,Yoga,Yoga,Count,327,number,Number of people,
2018,Census usually resident population,Yoga,Yoga,Percentage of total stated,0.006957809502836,percentage,% of people,
2023,Census usually resident population,Yoga,Yoga,Count,306,number,Number of people,
2023,Census usually resident population,Yoga,Yoga,Percentage of total stated,0.006127447299448,percentage,% of people,
2013,Census usually resident population,Arya Samaj,Arya Samaj,Count,,number,Number of people,not available
2013,Census usually resident population,Arya Samaj,Arya Samaj,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Arya Samaj,Arya Samaj,Count,36,number,Number of people,
2018,Census usually resident population,Arya Samaj,Arya Samaj,Percentage of total stated,0.000765997376459,percentage,% of people,
2023,Census usually resident population,Arya Samaj,Arya Samaj,Count,75,number,Number of people,
2023,Census usually resident population,Arya Samaj,Arya Samaj,Percentage of total stated,0.001501825318492,percentage,% of people,
2013,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Count,312,number,Number of people,
2013,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Percentage of total stated,0.007997613020114,percentage,% of people where information available,
2018,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Count,882,number,Number of people,
2018,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Percentage of total stated,0.01876693572325,percentage,% of people,
2023,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Count,1515,number,Number of people,
2023,Census usually resident population,Hinduism (not elsewhere classified),Hinduism nec,Percentage of total stated,0.03033687143354,percentage,% of people,
2013,Census usually resident population,Islam (not further defined),Islam nfd,Count,45960,number,Number of people,
2013,Census usually resident population,Islam (not further defined),Islam nfd,Percentage of total stated,1.178109917963,percentage,% of people where information available,
2018,Census usually resident population,Islam (not further defined),Islam nfd,Count,57276,number,Number of people,
2018,Census usually resident population,Islam (not further defined),Islam nfd,Percentage of total stated,1.218701825946,percentage,% of people,
2023,Census usually resident population,Islam (not further defined),Islam nfd,Count,68538,number,Number of people,
2023,Census usually resident population,Islam (not further defined),Islam nfd,Percentage of total stated,1.372428049051,percentage,% of people,
2013,Census usually resident population,Sufi,Sufi,Count,150,number,Number of people,
2013,Census usually resident population,Sufi,Sufi,Percentage of total stated,0.00384500625967,percentage,% of people where information available,
2018,Census usually resident population,Sufi,Sufi,Count,162,number,Number of people,
2018,Census usually resident population,Sufi,Sufi,Percentage of total stated,0.003446988194065,percentage,% of people,
2023,Census usually resident population,Sufi,Sufi,Count,180,number,Number of people,
2023,Census usually resident population,Sufi,Sufi,Percentage of total stated,0.003604380764381,percentage,% of people,
2013,Census usually resident population,Shi'a,Shi'a,Count,,number,Number of people,not available
2013,Census usually resident population,Shi'a,Shi'a,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Shi'a,Shi'a,Count,651,number,Number of people,
2018,Census usually resident population,Shi'a,Shi'a,Percentage of total stated,0.01385178589097,percentage,% of people,
2023,Census usually resident population,Shi'a,Shi'a,Count,1311,number,Number of people,
2023,Census usually resident population,Shi'a,Shi'a,Percentage of total stated,0.02625190656724,percentage,% of people,
2013,Census usually resident population,Sunni,Sunni,Count,,number,Number of people,not available
2013,Census usually resident population,Sunni,Sunni,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Sunni,Sunni,Count,2961,number,Number of people,
2018,Census usually resident population,Sunni,Sunni,Percentage of total stated,0.06300328421375,percentage,% of people,
2023,Census usually resident population,Sunni,Sunni,Count,4383,number,Number of people,
2023,Census usually resident population,Sunni,Sunni,Percentage of total stated,0.08776667161268,percentage,% of people,
2013,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Count,,number,Number of people,not available
2013,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Count,369,number,Number of people,
2018,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Percentage of total stated,0.007851473108705,percentage,% of people,
2023,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Count,702,number,Number of people,
2023,Census usually resident population,Ahmadiyya Muslim,Ahmadiyya Muslim,Percentage of total stated,0.01405708498109,percentage,% of people,
2013,Census usually resident population,Islam (not elsewhere classified),Islam nec,Count,81,number,Number of people,
2013,Census usually resident population,Islam (not elsewhere classified),Islam nec,Percentage of total stated,0.002076303380222,percentage,% of people where information available,
2018,Census usually resident population,Islam (not elsewhere classified),Islam nec,Count,36,number,Number of people,
2018,Census usually resident population,Islam (not elsewhere classified),Islam nec,Percentage of total stated,0.000765997376459,percentage,% of people,
2023,Census usually resident population,Islam (not elsewhere classified),Islam nec,Percentage of total stated,0.0006007301273968,percentage,% of people,
2013,Census usually resident population,Judaism (not further defined),Judaism nfd,Count,6867,number,Number of people,
2013,Census usually resident population,Judaism (not further defined),Judaism nfd,Percentage of total stated,0.1760243865677,percentage,% of people where information available,
2018,Census usually resident population,Judaism (not further defined),Judaism nfd,Count,3348,number,Number of people,
2018,Census usually resident population,Judaism (not further defined),Judaism nfd,Percentage of total stated,0.07123775601069,percentage,% of people,
2023,Census usually resident population,Judaism (not further defined),Judaism nfd,Count,3657,number,Number of people,
2023,Census usually resident population,Judaism (not further defined),Judaism nfd,Percentage of total stated,0.07322900252967,percentage,% of people,
2013,Census usually resident population,Conservative Judaism,Conservative Judaism,Count,,number,Number of people,not available
2013,Census usually resident population,Conservative Judaism,Conservative Judaism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Conservative Judaism,Conservative Judaism,Count,327,number,Number of people,
2018,Census usually resident population,Conservative Judaism,Conservative Judaism,Percentage of total stated,0.006957809502836,percentage,% of people,
2023,Census usually resident population,Conservative Judaism,Conservative Judaism,Count,297,number,Number of people,
2023,Census usually resident population,Conservative Judaism,Conservative Judaism,Percentage of total stated,0.005947228261229,percentage,% of people,
2013,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Count,,number,Number of people,not available
2013,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Count,792,number,Number of people,
2018,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Percentage of total stated,0.0168519422821,percentage,% of people,
2023,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Count,732,number,Number of people,
2023,Census usually resident population,Orthodox Judaism,Orthodox Judaism,Percentage of total stated,0.01465781510848,percentage,% of people,
2013,Census usually resident population,Reformed Judaism,Reformed Judaism,Count,,number,Number of people,not available
2013,Census usually resident population,Reformed Judaism,Reformed Judaism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Reformed Judaism,Reformed Judaism,Count,807,number,Number of people,
2018,Census usually resident population,Reformed Judaism,Reformed Judaism,Percentage of total stated,0.01717110785562,percentage,% of people,
2023,Census usually resident population,Reformed Judaism,Reformed Judaism,Count,852,number,Number of people,
2023,Census usually resident population,Reformed Judaism,Reformed Judaism,Percentage of total stated,0.01706073561807,percentage,% of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Count,1953,number,Number of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.05006198150091,percentage,% of people where information available,
2018,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Count,3699,number,Number of people,
2018,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.07870623043116,percentage,% of people,
2023,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Count,6531,number,Number of people,
2023,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.1307789487343,percentage,% of people,
2013,Census usually resident population,Rātana,Ratana,Count,40353,number,Number of people,
2013,Census usually resident population,Rātana,Ratana,Percentage of total stated,1.034383583976,percentage,% of people where information available,
2018,Census usually resident population,Rātana,Ratana,Count,43821,number,Number of people,
2018,Census usually resident population,Rātana,Ratana,Percentage of total stated,0.9324103064947,percentage,% of people,
2023,Census usually resident population,Rātana,Ratana,Count,43944,number,Number of people,
2023,Census usually resident population,Rātana,Ratana,Percentage of total stated,0.8799494906109,percentage,% of people,
2013,Census usually resident population,Ringatū,Ringatū,Count,13272,number,Number of people,
2013,Census usually resident population,Ringatū,Ringatū,Percentage of total stated,0.3402061538556,percentage,% of people where information available,
2018,Census usually resident population,Ringatū,Ringatū,Count,12336,number,Number of people,
2018,Census usually resident population,Ringatū,Ringatū,Percentage of total stated,0.2624817676666,percentage,% of people,
2023,Census usually resident population,Ringatū,Ringatū,Count,11985,number,Number of people,
2023,Census usually resident population,Ringatū,Ringatū,Percentage of total stated,0.239991685895,percentage,% of people,
2013,Census usually resident population,Paimarire,Paimarire,Count,747,number,Number of people,
2013,Census usually resident population,Paimarire,Paimarire,Percentage of total stated,0.01914813117316,percentage,% of people where information available,
2018,Census usually resident population,Paimarire,Paimarire,Count,1194,number,Number of people,
2018,Census usually resident population,Paimarire,Paimarire,Percentage of total stated,0.02540557965256,percentage,% of people,
2023,Census usually resident population,Paimarire,Paimarire,Count,1383,number,Number of people,
2023,Census usually resident population,Paimarire,Paimarire,Percentage of total stated,0.02769365887299,percentage,% of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Count,456,number,Number of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Percentage of total stated,0.0116888190294,percentage,% of people where information available,
2018,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Count,1584,number,Number of people,
2018,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Percentage of total stated,0.0337038845642,percentage,% of people,
2023,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Count,2208,number,Number of people,
2023,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Percentage of total stated,0.04421373737641,percentage,% of people,
2013,Census usually resident population,New Age (not further defined),New Age nfd,Count,444,number,Number of people,
2013,Census usually resident population,New Age (not further defined),New Age nfd,Percentage of total stated,0.01138121852862,percentage,% of people where information available,
2018,Census usually resident population,New Age (not further defined),New Age nfd,Count,363,number,Number of people,
2018,Census usually resident population,New Age (not further defined),New Age nfd,Percentage of total stated,0.007723806879295,percentage,% of people,
2023,Census usually resident population,New Age (not further defined),New Age nfd,Count,255,number,Number of people,
2023,Census usually resident population,New Age (not further defined),New Age nfd,Percentage of total stated,0.005106206082873,percentage,% of people,
2013,Census usually resident population,Church of Scientology,Church of Scientology,Count,318,number,Number of people,
2013,Census usually resident population,Church of Scientology,Church of Scientology,Percentage of total stated,0.008151413270501,percentage,% of people where information available,
2018,Census usually resident population,Church of Scientology,Church of Scientology,Count,321,number,Number of people,
2018,Census usually resident population,Church of Scientology,Church of Scientology,Percentage of total stated,0.006830143273426,percentage,% of people,
2023,Census usually resident population,Church of Scientology,Church of Scientology,Count,315,number,Number of people,
2023,Census usually resident population,Church of Scientology,Church of Scientology,Percentage of total stated,0.006307666337667,percentage,% of people,
2013,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Count,696,number,Number of people,
2013,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Percentage of total stated,0.01784082904487,percentage,% of people where information available,
2018,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Count,807,number,Number of people,
2018,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Percentage of total stated,0.01717110785562,percentage,% of people,
2023,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Count,786,number,Number of people,
2023,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Percentage of total stated,0.0157391293378,percentage,% of people,
2013,Census usually resident population,Animist,Animist,Count,243,number,Number of people,
2013,Census usually resident population,Animist,Animist,Percentage of total stated,0.006228910140666,percentage,% of people where information available,
2018,Census usually resident population,Animist,Animist,Count,273,number,Number of people,
2018,Census usually resident population,Animist,Animist,Percentage of total stated,0.005808813438147,percentage,% of people,
2023,Census usually resident population,Animist,Animist,Count,333,number,Number of people,
2023,Census usually resident population,Animist,Animist,Percentage of total stated,0.006668104414105,percentage,% of people,
2013,Census usually resident population,Druid,Druid,Count,165,number,Number of people,
2013,Census usually resident population,Druid,Druid,Percentage of total stated,0.004229506885637,percentage,% of people where information available,
2018,Census usually resident population,Druid,Druid,Count,189,number,Number of people,
2018,Census usually resident population,Druid,Druid,Percentage of total stated,0.00402148622641,percentage,% of people,
2023,Census usually resident population,Druid,Druid,Count,216,number,Number of people,
2023,Census usually resident population,Druid,Druid,Percentage of total stated,0.004325256917257,percentage,% of people,
2013,Census usually resident population,Pantheist,Pantheist,Count,372,number,Number of people,
2013,Census usually resident population,Pantheist,Pantheist,Percentage of total stated,0.009535615523982,percentage,% of people where information available,
2018,Census usually resident population,Pantheist,Pantheist,Count,453,number,Number of people,
2018,Census usually resident population,Pantheist,Pantheist,Percentage of total stated,0.009638800320442,percentage,% of people,
2023,Census usually resident population,Pantheist,Pantheist,Count,450,number,Number of people,
2023,Census usually resident population,Pantheist,Pantheist,Percentage of total stated,0.009010951910953,percentage,% of people,
2013,Census usually resident population,Wiccan,Wiccan,Count,1452,number,Number of people,
2013,Census usually resident population,Wiccan,Wiccan,Percentage of total stated,0.03721966059361,percentage,% of people where information available,
2018,Census usually resident population,Wiccan,Wiccan,Count,1482,number,Number of people,
2018,Census usually resident population,Wiccan,Wiccan,Percentage of total stated,0.03153355866423,percentage,% of people,
2023,Census usually resident population,Wiccan,Wiccan,Count,1683,number,Number of people,
2023,Census usually resident population,Wiccan,Wiccan,Percentage of total stated,0.03370096014696,percentage,% of people,
2013,Census usually resident population,Pagan,Pagan,Count,,number,Number of people,not available
2013,Census usually resident population,Pagan,Pagan,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Pagan,Pagan,Count,2730,number,Number of people,
2018,Census usually resident population,Pagan,Pagan,Percentage of total stated,0.05808813438147,percentage,% of people,
2023,Census usually resident population,Pagan,Pagan,Count,4059,number,Number of people,
2023,Census usually resident population,Pagan,Pagan,Percentage of total stated,0.08127878623679,percentage,% of people,
2013,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Count,3099,number,Number of people,
2013,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Percentage of total stated,0.07943782932479,percentage,% of people where information available,
2018,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Count,648,number,Number of people,
2018,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Percentage of total stated,0.01378795277626,percentage,% of people,
2023,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Count,459,number,Number of people,
2023,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Percentage of total stated,0.009191170949172,percentage,% of people,
2013,Census usually resident population,Satanism,Satanism,Count,840,number,Number of people,
2013,Census usually resident population,Satanism,Satanism,Percentage of total stated,0.02153203505415,percentage,% of people where information available,
2018,Census usually resident population,Satanism,Satanism,Count,1149,number,Number of people,
2018,Census usually resident population,Satanism,Satanism,Percentage of total stated,0.02444808293198,percentage,% of people,
2023,Census usually resident population,Satanism,Satanism,Count,1593,number,Number of people,
2023,Census usually resident population,Satanism,Satanism,Percentage of total stated,0.03189876976477,percentage,% of people,
2013,Census usually resident population,Spiritualist,Spiritualist,Count,7776,number,Number of people,
2013,Census usually resident population,Spiritualist,Spiritualist,Percentage of total stated,0.1993251245013,percentage,% of people where information available,
2018,Census usually resident population,Spiritualist,Spiritualist,Count,8262,number,Number of people,
2018,Census usually resident population,Spiritualist,Spiritualist,Percentage of total stated,0.1757963978973,percentage,% of people,
2023,Census usually resident population,Spiritualist,Spiritualist,Count,8628,number,Number of people,
2023,Census usually resident population,Spiritualist,Spiritualist,Percentage of total stated,0.1727699846393,percentage,% of people,
2013,Census usually resident population,Rastafarianism,Rastafarianism,Count,1914,number,Number of people,
2013,Census usually resident population,Rastafarianism,Rastafarianism,Percentage of total stated,0.04906227987339,percentage,% of people where information available,
2018,Census usually resident population,Rastafarianism,Rastafarianism,Count,1707,number,Number of people,
2018,Census usually resident population,Rastafarianism,Rastafarianism,Percentage of total stated,0.0363210422671,percentage,% of people,
2023,Census usually resident population,Rastafarianism,Rastafarianism,Count,1596,number,Number of people,
2023,Census usually resident population,Rastafarianism,Rastafarianism,Percentage of total stated,0.03195884277751,percentage,% of people,
2013,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Count,1098,number,Number of people,
2013,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Percentage of total stated,0.02814544582079,percentage,% of people where information available,
2018,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Count,1311,number,Number of people,
2018,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Percentage of total stated,0.02789507112605,percentage,% of people,
2023,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Count,1167,number,Number of people,
2023,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Percentage of total stated,0.02336840195574,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Count,5202,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.1333448170854,percentage,% of people where information available,
2018,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Count,1434,number,Number of people,
2018,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.03051222882895,percentage,% of people,
2023,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Count,1083,number,Number of people,
2023,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Percentage of total stated,0.02168635759903,percentage,% of people,
2013,Census usually resident population,Baha'i,Baha'i,Count,2637,number,Number of people,
2013,Census usually resident population,Baha'i,Baha'i,Percentage of total stated,0.067595210045,percentage,% of people where information available,
2018,Census usually resident population,Baha'i,Baha'i,Count,2925,number,Number of people,
2018,Census usually resident population,Baha'i,Baha'i,Percentage of total stated,0.06223728683729,percentage,% of people,
2023,Census usually resident population,Baha'i,Baha'i,Count,3072,number,Number of people,
2023,Census usually resident population,Baha'i,Baha'i,Percentage of total stated,0.06151476504544,percentage,% of people,
2013,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Count,63,number,Number of people,
2013,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Percentage of total stated,0.001614902629061,percentage,% of people where information available,
2018,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Count,276,number,Number of people,
2018,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Percentage of total stated,0.005872646552852,percentage,% of people,
2023,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Count,348,number,Number of people,
2023,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Percentage of total stated,0.006968469477803,percentage,% of people,
2013,Census usually resident population,Confucianism,Confucianism,Count,36,number,Number of people,
2013,Census usually resident population,Confucianism,Confucianism,Percentage of total stated,0.0009228015023208,percentage,% of people where information available,
2018,Census usually resident population,Confucianism,Confucianism,Count,99,number,Number of people,
2018,Census usually resident population,Confucianism,Confucianism,Percentage of total stated,0.002106492785262,percentage,% of people,
2023,Census usually resident population,Confucianism,Confucianism,Count,69,number,Number of people,
2023,Census usually resident population,Confucianism,Confucianism,Percentage of total stated,0.001381679293013,percentage,% of people,
2013,Census usually resident population,Taoism,Taoism,Count,795,number,Number of people,
2013,Census usually resident population,Taoism,Taoism,Percentage of total stated,0.02037853317625,percentage,% of people where information available,
2018,Census usually resident population,Taoism,Taoism,Count,1098,number,Number of people,
2018,Census usually resident population,Taoism,Taoism,Percentage of total stated,0.023362919982,percentage,% of people,
2023,Census usually resident population,Taoism,Taoism,Count,1263,number,Number of people,
2023,Census usually resident population,Taoism,Taoism,Percentage of total stated,0.02529073836341,percentage,% of people,
2013,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Count,15,number,Number of people,
2013,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Percentage of total stated,0.000384500625967,percentage,% of people where information available,
2018,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Count,18,number,Number of people,
2018,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Percentage of total stated,0.0003829986882295,percentage,% of people,
2023,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Count,15,number,Number of people,
2023,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Percentage of total stated,0.0003003650636984,percentage,% of people,
2013,Census usually resident population,Jainism,Jainism,Count,207,number,Number of people,
2013,Census usually resident population,Jainism,Jainism,Percentage of total stated,0.005306108638345,percentage,% of people where information available,
2018,Census usually resident population,Jainism,Jainism,Count,612,number,Number of people,
2018,Census usually resident population,Jainism,Jainism,Percentage of total stated,0.0130219553998,percentage,% of people,
2023,Census usually resident population,Jainism,Jainism,Count,813,number,Number of people,
2023,Census usually resident population,Jainism,Jainism,Percentage of total stated,0.01627978645245,percentage,% of people,
2013,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Count,30,number,Number of people,
2013,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Percentage of total stated,0.000769001251934,percentage,% of people where information available,
2018,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Count,33,number,Number of people,
2018,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Percentage of total stated,0.0007021642617541,percentage,% of people,
2023,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Count,30,number,Number of people,
2023,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Percentage of total stated,0.0006007301273968,percentage,% of people,
2013,Census usually resident population,Mahikari,Mahikari,Count,126,number,Number of people,
2013,Census usually resident population,Mahikari,Mahikari,Percentage of total stated,0.003229805258123,percentage,% of people where information available,
2018,Census usually resident population,Mahikari,Mahikari,Count,138,number,Number of people,
2018,Census usually resident population,Mahikari,Mahikari,Percentage of total stated,0.002936323276426,percentage,% of people,
2023,Census usually resident population,Mahikari,Mahikari,Count,105,number,Number of people,
2023,Census usually resident population,Mahikari,Mahikari,Percentage of total stated,0.002102555445889,percentage,% of people,
2013,Census usually resident population,Shinto,Shinto,Count,240,number,Number of people,
2013,Census usually resident population,Shinto,Shinto,Percentage of total stated,0.006152010015472,percentage,% of people where information available,
2018,Census usually resident population,Shinto,Shinto,Count,387,number,Number of people,
2018,Census usually resident population,Shinto,Shinto,Percentage of total stated,0.008234471796934,percentage,% of people,
2023,Census usually resident population,Shinto,Shinto,Count,426,number,Number of people,
2023,Census usually resident population,Shinto,Shinto,Percentage of total stated,0.008530367809035,percentage,% of people,
2013,Census usually resident population,Tenrikyo,Tenrikyo,Count,15,number,Number of people,
2013,Census usually resident population,Tenrikyo,Tenrikyo,Percentage of total stated,0.000384500625967,percentage,% of people where information available,
2018,Census usually resident population,Tenrikyo,Tenrikyo,Count,12,number,Number of people,
2018,Census usually resident population,Tenrikyo,Tenrikyo,Percentage of total stated,0.0002553324588197,percentage,% of people,
2023,Census usually resident population,Tenrikyo,Tenrikyo,Count,12,number,Number of people,
2023,Census usually resident population,Tenrikyo,Tenrikyo,Percentage of total stated,0.0002402920509587,percentage,% of people,
2013,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Count,15,number,Number of people,
2013,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Percentage of total stated,0.000384500625967,percentage,% of people where information available,
2018,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Count,18,number,Number of people,
2018,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Percentage of total stated,0.0003829986882295,percentage,% of people,
2023,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Count,24,number,Number of people,
2023,Census usually resident population,Japanese Religion (not elsewhere classified),Japanese Religion nec,Percentage of total stated,0.0004805841019175,percentage,% of people,
2013,Census usually resident population,Sikhism,Sikhism,Count,19191,number,Number of people,
2013,Census usually resident population,Sikhism,Sikhism,Percentage of total stated,0.4919301008622,percentage,% of people where information available,
